Branch,Bill No,Bill_date,Maker,Category,Product,Design,Sub_Design,Size,Pcs,Gwt(Grams),Sales_Value,Age,Employee,Purchase Value,Weight Min,Weight Max,Profit Margin %,Revenue Per Gram,Product Performance
MDU,GL-00737,2024-04-28,A,22KT,G CHAIN,MACHINE MADE,MC DE,18.0,1.0,6.04,36275.86,12.0,MANOJ KUMAR,34559.24,4.0,6.0,4.732127646319075,6005.937086092716,Fast Moving
CNI,GL-00520,2024-04-28,B,22KT,G CHAIN,MACHINE MADE,3 BAL KS,24.0,1.0,24.17,131049.73,11.0,ARUNACHALAM,128034.61,20.0,24.0,2.300744915689636,5421.9995862639635,Fast Moving
CNI,GL-00530,2024-04-29,A,22KT,G CHAIN,MACHINE MADE,MC DE,18.0,1.0,3.97,24640.47,13.0,ARUN KUMAR,24000.62,2.0,4.0,2.596744299114433,6206.667506297229,Fast Moving
CNI,GL-00533,2024-04-29,A,22KT,G CHAIN,MACHINE MADE,MC BO,18.0,1.0,15.95,88455.78,32.0,VENKATESH,84112.48,14.0,16.0,4.910137019875923,5545.816927899687,Slow Moving
CNI,GL-00541,2024-04-30,C,22KT,G CHAIN,MACHINE MADE,MU KS,24.0,1.0,23.87,129132.27,13.0,RAVIKUMAR,125622.51,20.0,24.0,2.71795733165692,5409.814411395057,Fast Moving
CNI,GL-00552,2024-04-30,C,22KT,G CHAIN,MACHINE MADE,3 BAL KS,24.0,1.0,16.41,91351.32,143.0,RAJAPRIYA,3750.0,14.0,16.0,95.89496900537398,5566.808043875686,Slow Moving
MDU,GL-00794,2024-04-30,A,22KT,G CHAIN,MACHINE MADE,MC RO,24.0,1.0,15.84,86242.57,14.0,BALAMURUGAN,84549.54,14.0,16.0,1.9631024446511893,5444.606691919193,Fast Moving
CNI,GL-00554,2024-04-30,A,22KT,G CHAIN,MACHINE MADE,MC RO,18.0,1.0,16.16,89152.37,30.0,PRAKASH,3750.0,14.0,16.0,95.79371810306333,5516.85457920792,Fast Moving
MDU,GL-00006,2024-04-01,A,22KT,G CHAIN,MACHINE MADE,3 BAL BS,24.0,1.0,31.92,175750.01,41.0,RAMAMOORTHY,3750.0,28.0,32.0,97.86628746137767,5505.952694235589,Slow Moving
MDU,GL-00066,2024-04-03,A,22KT,G CHAIN,MACHINE MADE,3 BAL BS,24.0,1.0,23.95,131441.32,2.0,SILAMBARASAN,122728.49,20.0,24.0,6.628684191546465,5488.155323590815,Fast Moving
CNI,GL-00053,2024-04-03,A,22KT,G CHAIN,MACHINE MADE,3 BAL BS,24.0,1.0,23.9,133967.38,2.0,VENKATESH,122484.08,20.0,24.0,8.571713502197328,5605.329707112971,Fast Moving
MDU,GL-00109,2024-04-05,A,22KT,G CHAIN,MACHINE MADE,3 BAL BS,24.0,1.0,40.82,220749.81,4.0,MANOJ KUMAR,206538.9,40.0,44.0,6.4375638647208815,5407.883635472807,Fast Moving
CNI,GL-00173,2024-04-09,A,22KT,G CHAIN,MACHINE MADE,3 BAL BS,24.0,1.0,31.81,174450.2,8.0,ARUN KUMAR,164309.59,28.0,32.0,5.812896746464042,5484.130776485383,Fast Moving
MDU,GL-00027,2024-04-02,A,22KT,G CHAIN,MACHINE MADE,3 BAL KS,24.0,1.0,39.94,222867.37,1.0,SELVAM,204403.0,36.0,40.0,8.284914027567156,5580.0543314972465,Fast Moving
CNI,GL-00138,2024-04-07,C,22KT,G CHAIN,MACHINE MADE,3 BAL KS,24.0,1.0,15.95,87027.26,161.0,PRAKASH,71262.0,14.0,16.0,18.115312374536433,5456.254545454545,Slow Moving
CNI,GL-00211,2024-04-10,A,22KT,G CHAIN,MACHINE MADE,3 BAL KS,24.0,1.0,14.25,78709.03,9.0,ARUN KUMAR,3750.0,12.0,14.0,95.2356165486984,5523.440701754386,Fast Moving
CBT,GL-00129,2024-04-13,I_9,22KT,G CHAIN,MACHINE MADE,3 BAL KS,24.0,1.0,24.08,138509.87,85.0,RAVIKUMAR,112226.0,20.0,24.0,18.976171156611436,5752.071013289037,Slow Moving
MDU,GL-00383,2024-04-14,A,22KT,G CHAIN,MACHINE MADE,3 BAL KS,24.0,1.0,20.34,118750.01,13.0,MANOJ KUMAR,104796.44,18.0,20.0,11.750373747336942,5838.250245821042,Fast Moving
MDU,GL-00399,2024-04-14,A,22KT,G CHAIN,MACHINE MADE,3 BAL KS,24.0,1.0,39.53,223919.79,1.0,BALAMURUGAN,207847.74,36.0,40.0,7.177592476305921,5664.553250695674,Fast Moving
CNI,GL-00293,2024-04-14,C,22KT,G CHAIN,MACHINE MADE,3 BAL KS,24.0,1.0,31.8,185249.53,84.0,SELCIYA DEVI,152418.0,28.0,32.0,17.72286817677756,5825.456918238993,Slow Moving
MDU,GL-00409,2024-04-14,A,22KT,G CHAIN,MACHINE MADE,3 BAL KS,24.0,1.0,32.38,181750.27,1.0,MANOJ KUMAR,168718.48,28.0,32.0,7.170162663307174,5613.041074737492,Fast Moving
CNI,GL-00302,2024-04-14,A,22KT,G CHAIN,MACHINE MADE,3 BAL KS,24.0,1.0,39.73,217562.71,1.0,PRAKASH,206169.45,36.0,40.0,5.236770584444357,5476.030958973069,Fast Moving
MDU,GL-00432,2024-04-15,A,22KT,G CHAIN,MACHINE MADE,3 BAL KS,24.0,1.0,31.42,175749.85,14.0,MANOJ KUMAR,162375.59,28.0,32.0,7.609827263010471,5593.566199872693,Fast Moving
CNI,GL-00357,2024-04-18,C,22KT,G CHAIN,MACHINE MADE,3 BAL KS,24.0,1.0,40.23,224764.2,1.0,GOWTHAM,210256.35,36.0,40.0,6.454697856687145,5586.979865771813,Fast Moving
CNI,GL-00150,2024-04-07,A,22KT,G CHAIN,MACHINE MADE,3 BAL K,24.0,1.0,24.14,110969.62,47.0,ARUNACHALAM,3750.0,20.0,24.0,96.62069672762689,4596.918806959403,Slow Moving
CNI,GL-00202,2024-04-10,A,22KT,G CHAIN,MACHINE MADE,3 BAL K,24.0,1.0,40.09,219270.14,9.0,PRAKASH,202909.99,36.0,40.0,7.461184637361029,5469.447243701671,Fast Moving
MDU,GL-00297,2024-04-12,A,22KT,G CHAIN,MACHINE MADE,3 BAL K,24.0,1.0,39.2,219667.78,11.0,BALAMURUGAN,203159.71,36.0,40.0,7.515016539976872,5603.769897959183,Fast Moving
MDU,GL-00004,2024-04-01,A,22KT,G CHAIN,MACHINE MADE,MC 4,18.0,1.0,10.21,58402.34,111.0,RAGURAM,3750.0,8.0,10.0,93.57902440210444,5720.11165523996,Slow Moving
MDU,GL-00138,2024-04-06,A,22KT,G CHAIN,MACHINE MADE,MC 4,18.0,1.0,15.56,85173.71,6.0,MANOJ KUMAR,3750.0,14.0,16.0,95.59723299595615,5473.88881748072,Fast Moving
CNI,GL-00132,2024-04-07,A,22KT,G CHAIN,MACHINE MADE,MC 4,18.0,1.0,5.64,33422.35,215.0,VENKATESH,29935.0,4.0,6.0,10.434185507601946,5925.948581560284,Slow Moving
MDU,GL-00219,2024-04-09,N,22KT,G CHAIN,MACHINE MADE,MC 4,24.0,1.0,23.8,139802.3,122.0,SELVAM,3750.0,20.0,24.0,97.31764069689841,5874.046218487394,Slow Moving
MDU,GL-00330,2024-04-12,A,22KT,G CHAIN,MACHINE MADE,MC 4,18.0,1.0,8.13,48718.56,59.0,KANNAN,43054.0,6.0,8.0,11.627108847223724,5992.442804428043,Slow Moving
MDU,GL-00475,2024-04-17,A,22KT,G CHAIN,MACHINE MADE,MC 4,18.0,1.0,15.72,90514.42,17.0,RAGURAM,3750.0,14.0,16.0,95.85701372223343,5757.91475826972,Fast Moving
MDU,GL-00019,2024-04-01,A,22KT,G CHAIN,MACHINE MADE,MC BO,24.0,1.0,23.98,131749.54,48.0,KANNAN,119679.0,20.0,24.0,9.161732177584838,5494.142618849041,Slow Moving
CBT,GL-00008,2024-04-02,A,22KT,G CHAIN,MACHINE MADE,MC BO,18.0,1.0,23.4,127835.61,5.0,RAVIKUMAR,123915.84,20.0,24.0,3.0662582984506463,5463.060256410256,Fast Moving
CNI,GL-00039,2024-04-02,C,22KT,G CHAIN,MACHINE MADE,MC BO,24.0,1.0,24.76,113033.65,51.0,GOWTHAM,119781.0,24.0,28.0,-5.969328602588703,4565.171647819063,Slow Moving
CNI,GL-00051,2024-04-03,A,22KT,G CHAIN,MACHINE MADE,MC BO,24.0,1.0,40.15,213281.94,2.0,KAMATCHI,204275.48,36.0,40.0,4.222795422809822,5312.128019925281,Fast Moving
CNI,GL-00190,2024-04-09,A,22KT,G CHAIN,MACHINE MADE,MC BO,24.0,1.0,24.06,131450.34,8.0,ARUN KUMAR,123913.33,20.0,24.0,5.733731841241335,5463.4389027431425,Fast Moving
MDU,GL-00339,2024-04-12,A,22KT,G CHAIN,MACHINE MADE,MC BO,24.0,1.0,40.07,221750.31,11.0,BALAMURUGAN,203876.99,36.0,40.0,8.060110490939113,5534.073122036436,Fast Moving
MDU,GL-00360,2024-04-13,A,22KT,G CHAIN,MACHINE MADE,MC BO,24.0,1.0,23.61,132450.03,12.0,RAVIKUMAR,124115.23,20.0,24.0,6.292788306654218,5609.912325285896,Fast Moving
CNI,GL-00282,2024-04-14,A,22KT,G CHAIN,MACHINE MADE,MC BO,24.0,1.0,32.09,179376.0,79.0,ARUN KUMAR,153655.0,28.0,32.0,14.33915350994559,5589.778747273293,Slow Moving
CNI,GL-00304,2024-04-14,A,22KT,G CHAIN,MACHINE MADE,MC BO,18.0,1.0,40.0,175250.19,2.0,MUTHUMATHI,205411.2,36.0,40.0,-17.210258088735884,4381.25475,Fast Moving
MDU,GL-00480,2024-04-17,A,22KT,G CHAIN,MACHINE MADE,MC BO,24.0,1.0,24.0,161287.17,132.0,ESAKKIAMMAL,3750.0,20.0,24.0,97.67495455466172,6720.298750000001,Slow Moving
CNI,GL-00346,2024-04-17,A,22KT,G CHAIN,MACHINE MADE,MC BO,18.0,1.0,15.9,90033.4,20.0,RAJAPRIYA,83860.56,14.0,16.0,6.856166711464853,5662.477987421383,Fast Moving
CBT,GL-00169,2024-04-18,A,22KT,G CHAIN,MACHINE MADE,MC BO,18.0,1.0,15.62,80754.58,88.0,RAVIKUMAR,77996.0,14.0,16.0,3.4160043925682,5169.947503201025,Slow Moving
CBT,GL-00181,2024-04-19,A,22KT,G CHAIN,MACHINE MADE,MC BO,18.0,1.0,12.53,73606.73,22.0,ELACKIYA,66880.08,10.0,12.0,9.13863446997305,5874.439744612929,Fast Moving
CNI,GL-00004,2024-04-01,P,22KT,G CHAIN,MACHINE MADE,MC CH,18.0,1.0,12.02,67250.29,1.0,MANIKANDAN,65102.86,10.0,12.0,3.19319069107359,5594.866056572379,Fast Moving
CNI,GL-00009,2024-04-01,A,22KT,G CHAIN,MACHINE MADE,MC CH,18.0,1.0,8.0,46319.55,4.0,SANGEETHA,44057.2,6.0,8.0,4.884222752595838,5789.94375,Fast Moving
CNI,GL-00036,2024-04-02,A,22KT,G CHAIN,MACHINE MADE,MC CH,18.0,1.0,8.12,46218.19,37.0,SELCIYA DEVI,3750.0,6.0,8.0,91.88631142846572,5691.895320197045,Slow Moving
MDU,GL-00054,2024-04-02,A,22KT,G CHAIN,MACHINE MADE,MC CH,18.0,1.0,8.12,48695.58,112.0,KAVITHA,3750.0,6.0,8.0,92.29909572901688,5996.992610837439,Slow Moving
CNI,GL-00052,2024-04-03,A,22KT,G CHAIN,MACHINE MADE,MC CH,18.0,1.0,7.81,44506.1,6.0,GOWTHAM,43097.76,6.0,8.0,3.164375220475388,5698.604353393086,Fast Moving
CNI,GL-00061,2024-04-03,A,22KT,G CHAIN,MACHINE MADE,MC CH,18.0,1.0,15.64,84467.72,3.0,KAMATCHI,3750.0,14.0,16.0,95.5604342108441,5400.7493606138105,Fast Moving
MDU,GL-00131,2024-04-06,A,22KT,G CHAIN,MACHINE MADE,MC CH,24.0,1.0,15.85,90650.98,114.0,RAVIKUMAR,3750.0,14.0,16.0,95.86325487049339,5719.304731861199,Slow Moving
MDU,GL-00135,2024-04-06,A,22KT,G CHAIN,MACHINE MADE,MC CH,18.0,1.0,8.11,48829.41,41.0,KANNAN,3750.0,6.0,8.0,92.32020210770517,6020.889025893959,Slow Moving
CBT,GL-00063,2024-04-07,A,22KT,G CHAIN,MACHINE MADE,MC CH,18.0,1.0,4.15,25949.77,7.0,MUTHU LAKSHMI,3750.0,2.0,4.0,85.54900486593908,6252.956626506024,Fast Moving
MDU,GL-00190,2024-04-08,N,22KT,G CHAIN,MACHINE MADE,MC CH,24.0,1.0,16.16,89150.23,121.0,KANNAN,3750.0,14.0,16.0,95.79361713368546,5516.722153465346,Slow Moving
CBT,GL-00101,2024-04-11,A,22KT,G CHAIN,MACHINE MADE,MC CH,24.0,1.0,16.0,89250.2,440.0,RAVIKUMAR,82025.0,14.0,16.0,8.095444043822868,5578.1375,Slow Moving
MDU,GL-00315,2024-04-12,A,22KT,G CHAIN,MACHINE MADE,MC CH,18.0,1.0,8.0,46144.01,59.0,RAGURAM,42425.0,6.0,8.0,8.059572629253509,5768.00125,Slow Moving
CBT,GL-00108,2024-04-12,A,22KT,G CHAIN,MACHINE MADE,MC CH,18.0,1.0,8.03,47750.44,15.0,ELACKIYA,44207.28,6.0,8.0,7.420161992224582,5946.505603985057,Fast Moving
CNI,GL-00286,2024-04-14,A,22KT,G CHAIN,MACHINE MADE,MC CH,18.0,1.0,16.02,90236.98,513.0,GOWTHAM,83110.0,14.0,16.0,7.898070170344792,5632.770287141074,Slow Moving
MDU,GL-00477,2024-04-17,A,22KT,G CHAIN,MACHINE MADE,MC CH,18.0,1.0,11.74,68319.21,127.0,RAGURAM,3750.0,10.0,12.0,94.51106065190157,5819.353492333902,Slow Moving
CNI,GL-00381,2024-04-20,D,22KT,G CHAIN,MACHINE MADE,MC CH,18.0,1.0,4.62,29549.65,9.0,RAMYA,26944.08,4.0,6.0,8.817600208462704,6396.028138528139,Fast Moving
MDU,GL-00614,2024-04-24,A,22KT,G CHAIN,MACHINE MADE,MC CH,18.0,1.0,4.31,28749.98,4.0,SELVAM,25934.28,2.0,4.0,9.793745943475441,6670.529002320186,Fast Moving
MDU,GL-00708,2024-04-27,A,22KT,G CHAIN,MACHINE MADE,MC CH,18.0,1.0,7.98,46309.29,30.0,KANNAN,43955.36,6.0,8.0,5.083062167439838,5803.16917293233,Fast Moving
MDU,GL-00738,2024-04-28,A,22KT,G CHAIN,MACHINE MADE,MC CH,18.0,1.0,10.22,58454.12,28.0,LALITHA,3750.0,10.0,12.0,93.58471224953861,5719.58121330724,Fast Moving
MDU,GL-00748,2024-04-29,A,22KT,G CHAIN,MACHINE MADE,MC CH,24.0,1.0,31.98,143392.32,69.0,ESAKKIAMMAL,3750.0,28.0,32.0,97.38479717742206,4483.812382739212,Slow Moving
MDU,GL-00064,2024-04-02,A,22KT,G CHAIN,MACHINE MADE,MC DE,18.0,1.0,12.02,67942.8,111.0,KAVITHA,3750.0,10.0,12.0,94.48065137144775,5652.479201331115,Slow Moving
MDU,GL-00064,2024-04-02,A,22KT,G CHAIN,MACHINE MADE,MC DE,24.0,1.0,16.07,89557.0,114.0,KAVITHA,3750.0,14.0,16.0,95.81272262358051,5572.930927193528,Slow Moving
CBT,GL-00142,2024-04-14,A,22KT,G CHAIN,MACHINE MADE,MC DE,18.0,1.0,8.06,48149.62,14.0,RAJAPRABHU,3750.0,6.0,8.0,92.21177654153865,5973.898263027295,Fast Moving
CBT,GL-00183,2024-04-20,A,22KT,G CHAIN,MACHINE MADE,MC DE,18.0,1.0,4.01,25750.02,4.0,JEYATHARSHINI,24203.56,2.0,4.0,6.005665238318258,6421.451371571073,Fast Moving
CNI,GL-00392,2024-04-21,A,22KT,G CHAIN,MACHINE MADE,MC DE,18.0,1.0,12.21,69550.2,5.0,SELCIYA DEVI,66032.18,10.0,12.0,5.058245698790233,5696.167076167076,Fast Moving
CBT,GL-00257,2024-04-30,A,22KT,G CHAIN,MACHINE MADE,MC DE,18.0,1.0,3.95,25077.03,14.0,MUTHU LAKSHMI,23901.89,2.0,4.0,4.68612112359398,6348.615189873417,Fast Moving
CNI,GL-00041,2024-04-03,A,22KT,G CHAIN,MACHINE MADE,MC KA,18.0,1.0,12.2,68449.88,3.0,VENKATESH,3750.0,10.0,12.0,94.5215389712882,5610.645901639345,Fast Moving
CBT,GL-00031,2024-04-04,A,22KT,G CHAIN,MACHINE MADE,MC KA,18.0,1.0,10.04,56807.39,7.0,RAJAPRABHU,53796.32,8.0,10.0,5.300489953859875,5658.1065737051795,Fast Moving
MDU,GL-00110,2024-04-05,A,22KT,G CHAIN,MACHINE MADE,MC KA,18.0,1.0,24.15,130749.71,8.0,MANOJ KUMAR,124130.24,20.0,24.0,5.062703389552452,5414.0666666666675,Fast Moving
CBT,GL-00053,2024-04-07,A,22KT,G CHAIN,MACHINE MADE,MC KA,18.0,1.0,8.25,47550.27,7.0,RAVIKUMAR,3750.0,6.0,8.0,92.11360944953626,5763.66909090909,Fast Moving
MDU,GL-00198,2024-04-08,A,22KT,G CHAIN,MACHINE MADE,MC KA,24.0,1.0,16.16,90166.0,7.0,KARMEGAM,83602.08,14.0,16.0,7.279817226005365,5579.579207920792,Fast Moving
CNI,GL-00169,2024-04-08,A,22KT,G CHAIN,MACHINE MADE,MC KA,18.0,1.0,8.43,48601.09,11.0,KAMATCHI,45772.4,6.0,8.0,5.820219258456951,5765.253855278766,Fast Moving
CNI,GL-00185,2024-04-09,A,22KT,G CHAIN,MACHINE MADE,MC KA,18.0,1.0,8.11,46790.6,9.0,ARUN KUMAR,3750.0,6.0,8.0,91.98556975118935,5769.494451294698,Fast Moving
CNI,GL-00207,2024-04-10,A,22KT,G CHAIN,MACHINE MADE,MC KA,24.0,1.0,15.66,86721.63,268.0,GOWTHAM,79271.0,14.0,16.0,8.591432149049787,5537.77969348659,Slow Moving
CNI,GL-00213,2024-04-10,A,22KT,G CHAIN,MACHINE MADE,MC KA,18.0,1.0,12.02,67235.36,10.0,VENKATESH,3750.0,10.0,12.0,94.42257764366845,5593.623960066556,Fast Moving
CNI,GL-00241,2024-04-12,A,22KT,G CHAIN,MACHINE MADE,MC KA,18.0,1.0,11.95,67536.11,15.0,ARUN KUMAR,63315.68,10.0,12.0,6.249145827321119,5651.557322175732,Fast Moving
CBT,GL-00143,2024-04-14,A,22KT,G CHAIN,MACHINE MADE,MC KA,18.0,1.0,8.33,49367.22,17.0,RAJAPRABHU,45273.92,6.0,8.0,8.29153434201886,5926.436974789916,Fast Moving
CNI,GL-00315,2024-04-15,A,22KT,G CHAIN,MACHINE MADE,MC KA,18.0,1.0,6.26,37760.86,87.0,VENKATESH,32690.0,4.0,6.0,13.42887847363646,6032.086261980831,Slow Moving
CNI,GL-00317,2024-04-15,A,22KT,G CHAIN,MACHINE MADE,MC KA,24.0,1.0,32.12,176121.35,14.0,SHANMUGANATHAN,162465.91,28.0,32.0,7.753426827582234,5483.230074719801,Fast Moving
MDU,GL-00441,2024-04-15,A,22KT,G CHAIN,MACHINE MADE,MC KA,24.0,1.0,24.08,134049.54,62.0,LALITHA,120163.0,20.0,24.0,10.359259718459315,5566.841362126246,Slow Moving
CBT,GL-00169,2024-04-18,A,22KT,G CHAIN,MACHINE MADE,MC KA,18.0,1.0,7.92,42810.67,18.0,RAVIKUMAR,3750.0,6.0,8.0,91.240501491801,5405.387626262626,Fast Moving
MDU,GL-00623,2024-04-24,A,22KT,G CHAIN,MACHINE MADE,MC KA,18.0,1.0,8.2,45715.83,59.0,ESAKKIAMMAL,3750.0,6.0,8.0,91.79715210245554,5575.101219512196,Slow Moving
MDU,GL-00686,2024-04-27,A,22KT,G CHAIN,MACHINE MADE,MC KA,24.0,1.0,20.01,112066.4,7.0,KANNAN,106750.82,18.0,20.0,4.7432415068209455,5600.519740129935,Fast Moving
CNI,GL-00508,2024-04-28,A,22KT,G CHAIN,MACHINE MADE,MC KA,18.0,1.0,5.99,36350.05,8.0,ARUN KUMAR,34585.48,4.0,6.0,4.854381218182642,6068.455759599333,Fast Moving
CNI,GL-00510,2024-04-28,A,22KT,G CHAIN,MACHINE MADE,MC KA,18.0,1.0,8.48,48749.85,31.0,RAJAPRIYA,46018.96,6.0,8.0,5.601842877465263,5748.803066037735,Slow Moving
MDU,GL-00290,2024-04-11,A,22KT,G CHAIN,MACHINE MADE,MC RO,18.0,1.0,8.0,32749.63,11.0,SUNDARARAJAN,3750.0,6.0,8.0,88.54948895605843,4093.70375,Fast Moving
CBT,GL-00159,2024-04-16,A,22KT,G CHAIN,MACHINE MADE,MC RO,18.0,1.0,8.08,47848.67,16.0,RAVIKUMAR,3750.0,6.0,8.0,92.16279156766531,5921.8650990099,Fast Moving
MDU,GL-00492,2024-04-18,A,22KT,G CHAIN,MACHINE MADE,MC RO,18.0,1.0,24.31,135750.36,2.0,SATHISH KUMAR,127754.88,20.0,24.0,5.889840734124007,5584.136569313039,Fast Moving
MDU,GL-00669,2024-04-26,A,22KT,G CHAIN,MACHINE MADE,MC RO,24.0,1.0,23.97,131750.23,6.0,MANOJ KUMAR,127136.22,20.0,24.0,3.5020887629570048,5496.463496036713,Fast Moving
CNI,GL-00477,2024-04-26,A,22KT,G CHAIN,MACHINE MADE,MC RO,18.0,1.0,15.82,89753.47,26.0,ARUNACHALAM,3750.0,14.0,16.0,95.82188855762345,5673.417825537294,Fast Moving
MDU,GL-00088,2024-04-03,A,22KT,G CHAIN,MACHINE MADE,SA C,18.0,1.0,16.15,88750.37,112.0,MANOJ KUMAR,3750.0,14.0,16.0,95.77466550280297,5495.378947368421,Slow Moving
MDU,GL-00204,2024-04-08,A,22KT,G CHAIN,MACHINE MADE,SA C,18.0,1.0,16.15,89254.02,118.0,SILAMBARASAN,3750.0,14.0,16.0,95.79850857137863,5526.564705882353,Slow Moving
MDU,GL-00221,2024-04-09,A,22KT,G CHAIN,MACHINE MADE,SA C,18.0,1.0,12.37,71163.99,118.0,MANOJ KUMAR,3750.0,10.0,12.0,94.73048096375709,5752.949878738885,Slow Moving
MDU,GL-00246,2024-04-10,A,22KT,G CHAIN,MACHINE MADE,SA C,24.0,1.0,11.83,67749.84,358.0,BALAMURUGAN,49919.0,10.0,12.0,26.31864518056426,5726.9518174133555,Slow Moving
CNI,GL-00362,2024-04-18,A,22KT,G CHAIN,MACHINE MADE,SA C,24.0,1.0,15.73,89304.01,366.0,KAMATCHI,65139.0,14.0,16.0,27.059266431596964,5677.305149396058,Slow Moving
MDU,GL-00555,2024-04-21,A_73,22KT,G CHAIN,MACHINE MADE,SA C,18.0,1.0,16.08,85833.14,2.0,MANOJ KUMAR,3750.0,14.0,16.0,95.6310581204416,5337.881840796021,Fast Moving
CNI,GL-00561,2024-04-30,B,22KT,G CHAIN,MACHINE MADE,SA C,18.0,1.0,11.88,60450.41,13.0,ARUN KUMAR,65001.0,10.0,12.0,-7.5278066765800205,5088.41835016835,Fast Moving
CBT,GL-00086,2024-04-10,A,22KT,G CHAIN,MACHINE MADE,TRIPL,18.0,1.0,3.9,25433.16,10.0,ELACKIYA,3750.0,2.0,4.0,85.25546963098569,6521.323076923077,Fast Moving
CNI,GL-00309,2024-04-15,A,22KT,G CHAIN,MACHINE MADE,TRIPL,,1.0,4.05,25749.56,15.0,PRAKASH,3750.0,2.0,4.0,85.4366443543113,6357.916049382717,Fast Moving
MDU,GL-00635,2024-04-24,A,22KT,G CHAIN,MACHINE MADE,TRIPL,18.0,1.0,11.91,67866.21,126.0,MANOJ KUMAR,60329.0,10.0,12.0,11.105983375231954,5698.254408060454,Slow Moving
MDU,GL-00094,2024-04-03,A,22KT,G CHAIN,MACHINE MADE,SNAKE,24.0,1.0,41.1,243749.73,6.0,ESAKKIAMMAL,219640.08,40.0,44.0,9.891149417888595,5930.650364963503,Fast Moving
MDU,GL-00118,2024-04-05,A,22KT,G CHAIN,MACHINE MADE,SNAKE,24.0,1.0,41.05,228249.99,8.0,SILAMBARASAN,219377.44,40.0,44.0,3.887207180162413,5560.292082825822,Fast Moving
CNI,GL-00105,2024-04-06,A,22KT,G CHAIN,MACHINE MADE,CA R,24.0,1.0,34.04,185750.18,454.0,VENKATESH,175736.0,32.0,36.0,5.391208772987458,5456.820799059929,Slow Moving
CNI,GL-00178,2024-04-09,A,22KT,G CHAIN,MACHINE MADE,CA R,24.0,1.0,37.26,204250.11,399.0,PRAKASH,164632.0,36.0,40.0,19.39686103473824,5481.752818035427,Slow Moving
CNI,GL-00404,2024-04-21,C,22KT,G CHAIN,MACHINE MADE,CA R,24.0,1.0,40.38,220750.25,134.0,SELCIYA DEVI,3750.0,36.0,40.0,98.3012476769562,5466.821446260525,Slow Moving
CNI,GL-00177,2024-04-09,C,22KT,G CHAIN,MACHINE MADE,MU KS,24.0,1.0,39.94,222232.13,72.0,RAJAPRIYA,185733.0,36.0,40.0,16.423876241477775,5564.149474211317,Slow Moving
CNI,GL-00181,2024-04-09,A,22KT,G CHAIN,MACHINE MADE,MU KS,24.0,1.0,40.16,218049.94,44.0,SELCIYA DEVI,3750.0,40.0,44.0,98.28021048756078,5429.530378486056,Slow Moving
MDU,GL-00406,2024-04-14,A,22KT,G CHAIN,MACHINE MADE,MU KS,24.0,1.0,31.04,185266.53,127.0,ESAKKIAMMAL,3750.0,28.0,32.0,97.97588911499557,5968.638208762886,Slow Moving
